var_name,renaming_variables,renaming_variables_nice,var_type,modalities,dependent_var_id
\DCC Harmonized data set\05 - Blood pressure\Indicator for use of antihypertensive medication at the time of blood pressure measurement.\,antihypertensive,Antihypertensive drugs,binary,"[Not taking antihypertensive medication, Taking antihypertensive medication]",D31
\DCC Harmonized data set\05 - Blood pressure\Resting diastolic blood pressure from the upper arm in a clinical setting.\,diastolic_blood_pressure,Diastolic blood pressure,continuous,nan,D32
\DCC Harmonized data set\05 - Blood pressure\Resting systolic blood pressure from the upper arm in a clinical setting.\,systolic_blood_pressure,Systolic blood pressure,continuous,nan,D33
\DCC Harmonized data set\06 - Lipids\Blood mass concentration of high-density lipoprotein cholesterol\,hdl,HDL,continuous,nan,D34
\DCC Harmonized data set\06 - Lipids\Blood mass concentration of low-density lipoprotein cholesterol\,ldl,LDL,continuous,nan,D35
\DCC Harmonized data set\06 - Lipids\Blood mass concentration of total cholesterol\,total_cholesterol,Total cholesterol,continuous,nan,D36
\DCC Harmonized data set\06 - Lipids\Blood mass concentration of triglycerides\,triglycerides,Triglycerides,continuous,nan,D37
\DCC Harmonized data set\06 - Lipids\Indicates whether participant fasted for at least eight hours prior to blood draw to measure lipids phenotypes.\,fasted_before_lipids,Fasted before lipids measurements,binary,"[Participant fasted for at least eight hours prior to measurement of lipids phenotypes., Participant did not fast, or fasted for fewer than eight hours prior to measurement of lipids phenotypes.]",D38
\DCC Harmonized data set\06 - Lipids\Indicates whether participant was taking any lipid-lowering medication at blood draw to measure lipids phenotypes\,lipid_lowering_medication,Lipid-lowering medications,binary,"[Participant was not taking lipid-lowering medication., Participant was taking lipid-lowering medication.]",D39
\DCC Harmonized data set\07 - Venous Thromboembolism Event\An indicator of whether a subject experienced a venous thromboembolism event (VTE) that was verified by adjudication or by medical professionals.\,vte_occurrence,VTE occurence,binary,"[Not known to ever have a VTE event, either self-reported or from medical records, Experienced a VTE event as verified by adjudication or by medical professionals]",D40
\DCC Harmonized data set\07 - Venous Thromboembolism Event\An indicator of whether a subject had a venous thromboembolism (VTE) event prior to the start of the medical review process (including self-reported events).\,vte_history,VTE history,binary,"[did not have prior VTE event, had prior VTE event]",D41
